SKU,Type,Item Name,Invoice Type,Quantity,Gross Amount,Discounts,Net Amount,Taxes,Avg Gross Amount,Avg Discounts,Avg Net Amount,Materials Cost,Avg Materials Cost,Supplies Cost,Avg Supplies Cost,Gross Margin,Item Tax Code,Nature of Item,Category,Subcategory,Item Tags,Item Brand,Account Name,Item Group Name,Variant(s),Measuring Unit,Level Hierarchy 1
1,Item,Black Forest (1 Pcs),Sale,127,6763.68,-5.24,6758.44,338.01,53.26,-0.04,53.22,2839.58,22.36,0,0,57.98%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,1 Pcs,ea,
10,Item,Celebration (1 Pcs),Sale,29,2347.57,0,2347.57,117.4,80.95,0,80.95,659.79,22.75,0,0,71.89%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Celebration,1 Pcs,ea,
101,Item,Black Forest (1/2 Kg),Sale,22,6495.28,-64.96,6430.32,321.49,295.24,-2.95,292.29,446.93,20.32,0,0,93.05%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,1/2 Kg,ea,
101EL,Item,Eggless Black Forest (1/2 Kg),Sale,11,3509.55,0,3509.55,175.47,319.05,0,319.05,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Black Forest,1/2 Kg,ea,
101OM,Item,Black Forest (1/2 Kg),Sale,2,590.48,0,590.48,29.52,295.24,0,295.24,346.5,173.25,0,0,41.32%,19059010,Goods,Online Menu,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,1/2 Kg,ea,
102,Item,Pineapple Pastry (1/2 Kg),Sale,14,4133.36,0,4133.36,206.64,295.24,0,295.24,158.9,11.35,0,0,96.16%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Pineapple Pastry,1/2 Kg,ea,
102EL,Item,Eggless Pineapple Pastry (1/2 Kg),Sale,13,4376.22,0,4376.22,218.78,336.63,0,336.63,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Pineapple Pastry,1/2 Kg,ea,
103,Item,White Forest (1/2 Kg),Sale,12,3788.53,0,3788.53,189.47,315.71,0,315.71,1845.03,153.75,0,0,51.30%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,1/2 Kg,ea,
103EL,Item,Eggless White Forest (1/2 Kg),Sale,2,666.66,0,666.66,33.34,333.33,0,333.33,364.04,182.02,0,0,45.39%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless White Forest,1/2 Kg,ea,
103ELSP,Item,Eggless White Forest (Special cake 1/2 kg),Sale,1,428.57,0,428.57,21.43,428.57,0,428.57,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless White Forest,Special cake 1/2 kg,ea,
103EOM,Item,Eggless White Forest (1/2 Kg),Sale,1,333.33,0,333.33,16.67,333.33,0,333.33,182.02,182.02,0,0,45.39%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless White Forest,1/2 Kg,ea,
103OM,Item,White Forest (1/2 Kg),Sale,1,309.52,0,309.52,15.48,309.52,0,309.52,167.73,167.73,0,0,45.81%,19059010,Goods,Online Menu,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,1/2 Kg,ea,
104,Item,Chocolate Cheese Mousse (1/2 Kg),Sale,5,2166.65,0,2166.65,108.35,433.33,0,433.33,322.98,64.6,0,0,85.09%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Cheese Mousse,1/2 Kg,ea,
104OM,Item,Chocolate Cheese Mousse (1/2 Kg),Sale,2,866.66,0,866.66,43.34,433.33,0,433.33,525.66,262.83,0,0,39.35%,19059010,Goods,Online Menu,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Cheese Mousse,1/2 Kg,ea,
104SP,Item,Chocolate Cheese Mousse (Special cake 1/2 kg),Sale,1,528.57,0,528.57,26.43,528.57,0,528.57,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Cheese Mousse,Special cake 1/2 kg,ea,
105,Item,Chocolate Mousse (1/2 Kg),Sale,3,1228.56,0,1228.56,61.44,409.52,0,409.52,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Mousse,1/2 Kg,ea,
1050,Item,ButterScotch (2 Kg),Sale,2,2971.42,-74.29,2897.13,144.86,1485.71,-37.15,1448.57,869.57,434.79,0,0,69.99%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,2 Kg,ea,
105SP,Item,Chocolate Mousse (Special cake 1/2 kg),Sale,1,504.76,0,504.76,25.24,504.76,0,504.76,0,0,0,0,100%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Chocolate Mousse,Special cake 1/2 kg,ea,
106EL,Item,Eggless Chocolate Mars (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Mars,1/2 Kg,ea,
107,Item,Chocolate Truffle (1/2 Kg),Sale,21,9307.55,-181.9,9125.65,456.34,443.22,-8.66,434.55,5531.25,263.39,0,0,39.39%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Truffle,1/2 Kg,ea,
107EL,Item,Eggless Chocolate Truffle (1/2 Kg),Sale,12,5704.74,0,5704.74,285.26,475.4,0,475.4,334.68,27.89,0,0,94.13%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,1/2 Kg,ea,
107EOM,Item,Eggless Chocolate Truffle (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,283.68,283.68,0,0,37.94%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,1/2 Kg,ea,
